gap_id,previous_timestamp_utc,next_timestamp_utc,missing_start_utc,missing_end_utc,delta_minutes,missing_m1_bars,weekday_before,weekday_after,utc_time_before,utc_time_after,year,month,partition,current_category,proposed_category,classification_reason,classification_evidence,confidence,requires_manual_review
gapf_14921_20210118_1955,2021-01-18 19:55:00,2021-01-19 01:00:00,2021-01-18 19:56:00,2021-01-19 00:59:00,305.0,304,Monday,Tuesday,19:55,01:00,2021,1,TRAIN,SUSPICIOUS_INTRASESSION,EXPECTED_HOLIDAY_OR_CLOSURE,US federal market holiday early close (MLK_DAY).,"2021-01-18 19:55:00 matches computed US federal holiday date (MLK_DAY); early close at 19:55 UTC, reopen 01:00 UTC next day; recurring pattern observed across multiple dataset years.",MEDIUM,False
gapf_16300_20210119_2358,2021-01-19 23:58:00,2021-01-20 01:00:00,2021-01-19 23:59:00,2021-01-20 00:59:00,62.0,61,Tuesday,Wednesday,23:58,01:00,2021,1,TRAIN,SUSPICIOUS_INTRASESSION,EXPECTED_DAILY_SESSION_BREAK,Recurring nightly broker maintenance/session break.,"2021-01-19 23:58:00 -> 2021-01-20 01:00:00: ~62min nightly pause, standard-time (hour 23->01) variant; this exact close/reopen-hour pair recurs on the vast majority of weeknights across all 6 dataset years, and the hour flips precisely on EU DST transition weekends.",MEDIUM,False
gapf_17679_20210120_2358,2021-01-20 23:58:00,2021-01-21 01:00:00,2021-01-20 23:59:00,2021-01-21 00:59:00,62.0,61,Wednesday,Thursday,23:58,01:00,2021,1,TRAIN,SUSPICIOUS_INTRASESSION,EXPECTED_DAILY_SESSION_BREAK,Recurring nightly broker maintenance/session break.,"2021-01-20 23:58:00 -> 2021-01-21 01:00:00: ~62min nightly pause, standard-time (hour 23->01) variant; this exact close/reopen-hour pair recurs on the vast majority of weeknights across all 6 dataset years, and the hour flips precisely on EU DST transition weekends.",MEDIUM,False
gapf_19058_20210121_2358,2021-01-21 23:58:00,2021-01-22 01:00:00,2021-01-21 23:59:00,2021-01-22 00:59:00,62.0,61,Thursday,Friday,23:58,01:00,2021,1,TRAIN,SUSPICIOUS_INTRASESSION,EXPECTED_DAILY_SESSION_BREAK,Recurring nightly broker maintenance/session break.,"2021-01-21 23:58:00 -> 2021-01-22 01:00:00: ~62min nightly pause, standard-time (hour 23->01) variant; this exact close/reopen-hour pair recurs on the vast majority of weeknights across all 6 dataset years, and the hour flips precisely on EU DST transition weekends.",MEDIUM,False
gapf_20436_20210122_2357,2021-01-22 23:57:00,2021-01-25 01:00:00,2021-01-22 23:58:00,2021-01-25 00:59:00,2943.0,2942,Friday,Monday,23:57,01:00,2021,1,TRAIN,EXPECTED_WEEKEND,EXPECTED_WEEKEND,Recurring Friday-to-Monday/Tuesday weekend market closure.,"Friday 23:57 close -> Monday 01:00 reopen, delta=2943min; matches the dataset-wide weekend closure pattern observed on every trading week.",HIGH,False
gapf_21815_20210125_2358,2021-01-25 23:58:00,2021-01-26 01:00:00,2021-01-25 23:59:00,2021-01-26 00:59:00,62.0,61,Monday,Tuesday,23:58,01:00,2021,1,TRAIN,SUSPICIOUS_INTRASESSION,EXPECTED_DAILY_SESSION_BREAK,Recurring nightly broker maintenance/session break.,"2021-01-25 23:58:00 -> 2021-01-26 01:00:00: ~62min nightly pause, standard-time (hour 23->01) variant; this exact close/reopen-hour pair recurs on the vast majority of weeknights across all 6 dataset years, and the hour flips precisely on EU DST transition weekends.",MEDIUM,False
gapf_23194_20210126_2358,2021-01-26 23:58:00,2021-01-27 01:00:00,2021-01-26 23:59:00,2021-01-27 00:59:00,62.0,61,Tuesday,Wednesday,23:58,01:00,2021,1,TRAIN,SUSPICIOUS_INTRASESSION,EXPECTED_DAILY_SESSION_BREAK,Recurring nightly broker maintenance/session break.,"2021-01-26 23:58:00 -> 2021-01-27 01:00:00: ~62min nightly pause, standard-time (hour 23->01) variant; this exact close/reopen-hour pair recurs on the vast majority of weeknights across all 6 dataset years, and the hour flips precisely on EU DST transition weekends.",MEDIUM,False
gapf_24573_20210127_2358,2021-01-27 23:58:00,2021-01-28 01:00:00,2021-01-27 23:59:00,2021-01-28 00:59:00,62.0,61,Wednesday,Thursday,23:58,01:00,2021,1,TRAIN,SUSPICIOUS_INTRASESSION,EXPECTED_DAILY_SESSION_BREAK,Recurring nightly broker maintenance/session break.,"2021-01-27 23:58:00 -> 2021-01-28 01:00:00: ~62min nightly pause, standard-time (hour 23->01) variant; this exact close/reopen-hour pair recurs on the vast majority of weeknights across all 6 dataset years, and the hour flips precisely on EU DST transition weekends.",MEDIUM,False
gapf_25952_20210128_2358,2021-01-28 23:58:00,2021-01-29 01:00:00,2021-01-28 23:59:00,2021-01-29 00:59:00,62.0,61,Thursday,Friday,23:58,01:00,2021,1,TRAIN,SUSPICIOUS_INTRASESSION,EXPECTED_DAILY_SESSION_BREAK,Recurring nightly broker maintenance/session break.,"2021-01-28 23:58:00 -> 2021-01-29 01:00:00: ~62min nightly pause, standard-time (hour 23->01) variant; this exact close/reopen-hour pair recurs on the vast majority of weeknights across all 6 dataset years, and the hour flips precisely on EU DST transition weekends.",MEDIUM,False
gapf_27330_20210129_2357,2021-01-29 23:57:00,2021-02-01 01:00:00,2021-01-29 23:58:00,2021-02-01 00:59:00,2943.0,2942,Friday,Monday,23:57,01:00,2021,1,TRAIN,EXPECTED_WEEKEND,EXPECTED_WEEKEND,Recurring Friday-to-Monday/Tuesday weekend market closure.,"Friday 23:57 close -> Monday 01:00 reopen, delta=2943min; matches the dataset-wide weekend closure pattern observed on every trading week.",HIGH,False
gapf_28673_20210201_2322,2021-02-01 23:22:00,2021-02-01 23:24:00,2021-02-01 23:23:00,2021-02-01 23:23:00,2.0,1,Monday,Monday,23:22,23:24,2021,2,TRAIN,LIKELY_PROVIDER_HISTORY_GAP,LIKELY_PROVIDER_HISTORY_GAP,"Isolated small active-session gap, no recurring pattern.","2021-02-01 23:22:00 -> 2021-02-01 23:24:00: isolated 1-bar active-session gap; does not match weekend, session-break, or holiday patterns; below the empirically observed natural break in the missing-bar distribution (no residual gap observed between 9 and 214 missing bars).",LOW,True
gapf_28708_20210201_2358,2021-02-01 23:58:00,2021-02-02 01:00:00,2021-02-01 23:59:00,2021-02-02 00:59:00,62.0,61,Monday,Tuesday,23:58,01:00,2021,2,TRAIN,SUSPICIOUS_INTRASESSION,EXPECTED_DAILY_SESSION_BREAK,Recurring nightly broker maintenance/session break.,"2021-02-01 23:58:00 -> 2021-02-02 01:00:00: ~62min nightly pause, standard-time (hour 23->01) variant; this exact close/reopen-hour pair recurs on the vast majority of weeknights across all 6 dataset years, and the hour flips precisely on EU DST transition weekends.",MEDIUM,False
gapf_30087_20210202_2358,2021-02-02 23:58:00,2021-02-03 01:00:00,2021-02-02 23:59:00,2021-02-03 00:59:00,62.0,61,Tuesday,Wednesday,23:58,01:00,2021,2,TRAIN,SUSPICIOUS_INTRASESSION,EXPECTED_DAILY_SESSION_BREAK,Recurring nightly broker maintenance/session break.,"2021-02-02 23:58:00 -> 2021-02-03 01:00:00: ~62min nightly pause, standard-time (hour 23->01) variant; this exact close/reopen-hour pair recurs on the vast majority of weeknights across all 6 dataset years, and the hour flips precisely on EU DST transition weekends.",MEDIUM,False
gapf_31466_20210203_2358,2021-02-03 23:58:00,2021-02-04 01:00:00,2021-02-03 23:59:00,2021-02-04 00:59:00,62.0,61,Wednesday,Thursday,23:58,01:00,2021,2,TRAIN,SUSPICIOUS_INTRASESSION,EXPECTED_DAILY_SESSION_BREAK,Recurring nightly broker maintenance/session break.,"2021-02-03 23:58:00 -> 2021-02-04 01:00:00: ~62min nightly pause, standard-time (hour 23->01) variant; this exact close/reopen-hour pair recurs on the vast majority of weeknights across all 6 dataset years, and the hour flips precisely on EU DST transition weekends.",MEDIUM,False
gapf_32845_20210204_2358,2021-02-04 23:58:00,2021-02-05 01:00:00,2021-02-04 23:59:00,2021-02-05 00:59:00,62.0,61,Thursday,Friday,23:58,01:00,2021,2,TRAIN,SUSPICIOUS_INTRASESSION,EXPECTED_DAILY_SESSION_BREAK,Recurring nightly broker maintenance/session break.,"2021-02-04 23:58:00 -> 2021-02-05 01:00:00: ~62min nightly pause, standard-time (hour 23->01) variant; this exact close/reopen-hour pair recurs on the vast majority of weeknights across all 6 dataset years, and the hour flips precisely on EU DST transition weekends.",MEDIUM,False
gapf_34223_20210205_2357,2021-02-05 23:57:00,2021-02-08 01:00:00,2021-02-05 23:58:00,2021-02-08 00:59:00,2943.0,2942,Friday,Monday,23:57,01:00,2021,2,TRAIN,EXPECTED_WEEKEND,EXPECTED_WEEKEND,Recurring Friday-to-Monday/Tuesday weekend market closure.,"Friday 23:57 close -> Monday 01:00 reopen, delta=2943min; matches the dataset-wide weekend closure pattern observed on every trading week.",HIGH,False
gapf_35602_20210208_2358,2021-02-08 23:58:00,2021-02-09 01:00:00,2021-02-08 23:59:00,2021-02-09 00:59:00,62.0,61,Monday,Tuesday,23:58,01:00,2021,2,TRAIN,SUSPICIOUS_INTRASESSION,EXPECTED_DAILY_SESSION_BREAK,Recurring nightly broker maintenance/session break.,"2021-02-08 23:58:00 -> 2021-02-09 01:00:00: ~62min nightly pause, standard-time (hour 23->01) variant; this exact close/reopen-hour pair recurs on the vast majority of weeknights across all 6 dataset years, and the hour flips precisely on EU DST transition weekends.",MEDIUM,False
gapf_36981_20210209_2358,2021-02-09 23:58:00,2021-02-10 01:00:00,2021-02-09 23:59:00,2021-02-10 00:59:00,62.0,61,Tuesday,Wednesday,23:58,01:00,2021,2,TRAIN,SUSPICIOUS_INTRASESSION,EXPECTED_DAILY_SESSION_BREAK,Recurring nightly broker maintenance/session break.,"2021-02-09 23:58:00 -> 2021-02-10 01:00:00: ~62min nightly pause, standard-time (hour 23->01) variant; this exact close/reopen-hour pair recurs on the vast majority of weeknights across all 6 dataset years, and the hour flips precisely on EU DST transition weekends.",MEDIUM,False
gapf_38360_20210210_2358,2021-02-10 23:58:00,2021-02-11 01:00:00,2021-02-10 23:59:00,2021-02-11 00:59:00,62.0,61,Wednesday,Thursday,23:58,01:00,2021,2,TRAIN,SUSPICIOUS_INTRASESSION,EXPECTED_DAILY_SESSION_BREAK,Recurring nightly broker maintenance/session break.,"2021-02-10 23:58:00 -> 2021-02-11 01:00:00: ~62min nightly pause, standard-time (hour 23->01) variant; this exact close/reopen-hour pair recurs on the vast majority of weeknights across all 6 dataset years, and the hour flips precisely on EU DST transition weekends.",MEDIUM,False
gapf_39739_20210211_2358,2021-02-11 23:58:00,2021-02-12 01:00:00,2021-02-11 23:59:00,2021-02-12 00:59:00,62.0,61,Thursday,Friday,23:58,01:00,2021,2,TRAIN,SUSPICIOUS_INTRASESSION,EXPECTED_DAILY_SESSION_BREAK,Recurring nightly broker maintenance/session break.,"2021-02-11 23:58:00 -> 2021-02-12 01:00:00: ~62min nightly pause, standard-time (hour 23->01) variant; this exact close/reopen-hour pair recurs on the vast majority of weeknights across all 6 dataset years, and the hour flips precisely on EU DST transition weekends.",MEDIUM,False
gapf_41117_20210212_2357,2021-02-12 23:57:00,2021-02-15 01:00:00,2021-02-12 23:58:00,2021-02-15 00:59:00,2943.0,2942,Friday,Monday,23:57,01:00,2021,2,TRAIN,EXPECTED_WEEKEND,EXPECTED_WEEKEND,Recurring Friday-to-Monday/Tuesday weekend market closure.,"Friday 23:57 close -> Monday 01:00 reopen, delta=2943min; matches the dataset-wide weekend closure pattern observed on every trading week.",HIGH,False
gapf_42253_20210215_1955,2021-02-15 19:55:00,2021-02-16 01:00:00,2021-02-15 19:56:00,2021-02-16 00:59:00,305.0,304,Monday,Tuesday,19:55,01:00,2021,2,TRAIN,SUSPICIOUS_INTRASESSION,EXPECTED_HOLIDAY_OR_CLOSURE,US federal market holiday early close (PRESIDENTS_DAY).,"2021-02-15 19:55:00 matches computed US federal holiday date (PRESIDENTS_DAY); early close at 19:55 UTC, reopen 01:00 UTC next day; recurring pattern observed across multiple dataset years.",MEDIUM,False
gapf_43632_20210216_2358,2021-02-16 23:58:00,2021-02-17 01:00:00,2021-02-16 23:59:00,2021-02-17 00:59:00,62.0,61,Tuesday,Wednesday,23:58,01:00,2021,2,TRAIN,SUSPICIOUS_INTRASESSION,EXPECTED_DAILY_SESSION_BREAK,Recurring nightly broker maintenance/session break.,"2021-02-16 23:58:00 -> 2021-02-17 01:00:00: ~62min nightly pause, standard-time (hour 23->01) variant; this exact close/reopen-hour pair recurs on the vast majority of weeknights across all 6 dataset years, and the hour flips precisely on EU DST transition weekends.",MEDIUM,False
gapf_45011_20210217_2358,2021-02-17 23:58:00,2021-02-18 01:00:00,2021-02-17 23:59:00,2021-02-18 00:59:00,62.0,61,Wednesday,Thursday,23:58,01:00,2021,2,TRAIN,SUSPICIOUS_INTRASESSION,EXPECTED_DAILY_SESSION_BREAK,Recurring nightly broker maintenance/session break.,"2021-02-17 23:58:00 -> 2021-02-18 01:00:00: ~62min nightly pause, standard-time (hour 23->01) variant; this exact close/reopen-hour pair recurs on the vast majority of weeknights across all 6 dataset years, and the hour flips precisely on EU DST transition weekends.",MEDIUM,False
gapf_46390_20210218_2358,2021-02-18 23:58:00,2021-02-19 01:00:00,2021-02-18 23:59:00,2021-02-19 00:59:00,62.0,61,Thursday,Friday,23:58,01:00,2021,2,TRAIN,SUSPICIOUS_INTRASESSION,EXPECTED_DAILY_SESSION_BREAK,Recurring nightly broker maintenance/session break.,"2021-02-18 23:58:00 -> 2021-02-19 01:00:00: ~62min nightly pause, standard-time (hour 23->01) variant; this exact close/reopen-hour pair recurs on the vast majority of weeknights across all 6 dataset years, and the hour flips precisely on EU DST transition weekends.",MEDIUM,False
gapf_47768_20210219_2357,2021-02-19 23:57:00,2021-02-22 01:00:00,2021-02-19 23:58:00,2021-02-22 00:59:00,2943.0,2942,Friday,Monday,23:57,01:00,2021,2,TRAIN,EXPECTED_WEEKEND,EXPECTED_WEEKEND,Recurring Friday-to-Monday/Tuesday weekend market closure.,"Friday 23:57 close -> Monday 01:00 reopen, delta=2943min; matches the dataset-wide weekend closure pattern observed on every trading week.",HIGH,False
gapf_49147_20210222_2358,2021-02-22 23:58:00,2021-02-23 01:00:00,2021-02-22 23:59:00,2021-02-23 00:59:00,62.0,61,Monday,Tuesday,23:58,01:00,2021,2,TRAIN,SUSPICIOUS_INTRASESSION,EXPECTED_DAILY_SESSION_BREAK,Recurring nightly broker maintenance/session break.,"2021-02-22 23:58:00 -> 2021-02-23 01:00:00: ~62min nightly pause, standard-time (hour 23->01) variant; this exact close/reopen-hour pair recurs on the vast majority of weeknights across all 6 dataset years, and the hour flips precisely on EU DST transition weekends.",MEDIUM,False
gapf_50526_20210223_2358,2021-02-23 23:58:00,2021-02-24 01:00:00,2021-02-23 23:59:00,2021-02-24 00:59:00,62.0,61,Tuesday,Wednesday,23:58,01:00,2021,2,TRAIN,SUSPICIOUS_INTRASESSION,EXPECTED_DAILY_SESSION_BREAK,Recurring nightly broker maintenance/session break.,"2021-02-23 23:58:00 -> 2021-02-24 01:00:00: ~62min nightly pause, standard-time (hour 23->01) variant; this exact close/reopen-hour pair recurs on the vast majority of weeknights across all 6 dataset years, and the hour flips precisely on EU DST transition weekends.",MEDIUM,False
gapf_51905_20210224_2358,2021-02-24 23:58:00,2021-02-25 01:00:00,2021-02-24 23:59:00,2021-02-25 00:59:00,62.0,61,Wednesday,Thursday,23:58,01:00,2021,2,TRAIN,SUSPICIOUS_INTRASESSION,EXPECTED_DAILY_SESSION_BREAK,Recurring nightly broker maintenance/session break.,"2021-02-24 23:58:00 -> 2021-02-25 01:00:00: ~62min nightly pause, standard-time (hour 23->01) variant; this exact close/reopen-hour pair recurs on the vast majority of weeknights across all 6 dataset years, and the hour flips precisely on EU DST transition weekends.",MEDIUM,False
gapf_53284_20210225_2358,2021-02-25 23:58:00,2021-02-26 01:00:00,2021-02-25 23:59:00,2021-02-26 00:59:00,62.0,61,Thursday,Friday,23:58,01:00,2021,2,TRAIN,SUSPICIOUS_INTRASESSION,EXPECTED_DAILY_SESSION_BREAK,Recurring nightly broker maintenance/session break.,"2021-02-25 23:58:00 -> 2021-02-26 01:00:00: ~62min nightly pause, standard-time (hour 23->01) variant; this exact close/reopen-hour pair recurs on the vast majority of weeknights across all 6 dataset years, and the hour flips precisely on EU DST transition weekends.",MEDIUM,False
gapf_54662_20210226_2357,2021-02-26 23:57:00,2021-03-01 01:00:00,2021-02-26 23:58:00,2021-03-01 00:59:00,2943.0,2942,Friday,Monday,23:57,01:00,2021,2,TRAIN,EXPECTED_WEEKEND,EXPECTED_WEEKEND,Recurring Friday-to-Monday/Tuesday weekend market closure.,"Friday 23:57 close -> Monday 01:00 reopen, delta=2943min; matches the dataset-wide weekend closure pattern observed on every trading week.",HIGH,False
gapf_56041_20210301_2358,2021-03-01 23:58:00,2021-03-02 01:00:00,2021-03-01 23:59:00,2021-03-02 00:59:00,62.0,61,Monday,Tuesday,23:58,01:00,2021,3,TRAIN,SUSPICIOUS_INTRASESSION,EXPECTED_DAILY_SESSION_BREAK,Recurring nightly broker maintenance/session break.,"2021-03-01 23:58:00 -> 2021-03-02 01:00:00: ~62min nightly pause, standard-time (hour 23->01) variant; this exact close/reopen-hour pair recurs on the vast majority of weeknights across all 6 dataset years, and the hour flips precisely on EU DST transition weekends.",MEDIUM,False
gapf_57420_20210302_2358,2021-03-02 23:58:00,2021-03-03 01:00:00,2021-03-02 23:59:00,2021-03-03 00:59:00,62.0,61,Tuesday,Wednesday,23:58,01:00,2021,3,TRAIN,SUSPICIOUS_INTRASESSION,EXPECTED_DAILY_SESSION_BREAK,Recurring nightly broker maintenance/session break.,"2021-03-02 23:58:00 -> 2021-03-03 01:00:00: ~62min nightly pause, standard-time (hour 23->01) variant; this exact close/reopen-hour pair recurs on the vast majority of weeknights across all 6 dataset years, and the hour flips precisely on EU DST transition weekends.",MEDIUM,False
gapf_58799_20210303_2358,2021-03-03 23:58:00,2021-03-04 01:00:00,2021-03-03 23:59:00,2021-03-04 00:59:00,62.0,61,Wednesday,Thursday,23:58,01:00,2021,3,TRAIN,SUSPICIOUS_INTRASESSION,EXPECTED_DAILY_SESSION_BREAK,Recurring nightly broker maintenance/session break.,"2021-03-03 23:58:00 -> 2021-03-04 01:00:00: ~62min nightly pause, standard-time (hour 23->01) variant; this exact close/reopen-hour pair recurs on the vast majority of weeknights across all 6 dataset years, and the hour flips precisely on EU DST transition weekends.",MEDIUM,False
gapf_60178_20210304_2358,2021-03-04 23:58:00,2021-03-05 01:00:00,2021-03-04 23:59:00,2021-03-05 00:59:00,62.0,61,Thursday,Friday,23:58,01:00,2021,3,TRAIN,SUSPICIOUS_INTRASESSION,EXPECTED_DAILY_SESSION_BREAK,Recurring nightly broker maintenance/session break.,"2021-03-04 23:58:00 -> 2021-03-05 01:00:00: ~62min nightly pause, standard-time (hour 23->01) variant; this exact close/reopen-hour pair recurs on the vast majority of weeknights across all 6 dataset years, and the hour flips precisely on EU DST transition weekends.",MEDIUM,False
gapf_61556_20210305_2357,2021-03-05 23:57:00,2021-03-08 01:00:00,2021-03-05 23:58:00,2021-03-08 00:59:00,2943.0,2942,Friday,Monday,23:57,01:00,2021,3,TRAIN,EXPECTED_WEEKEND,EXPECTED_WEEKEND,Recurring Friday-to-Monday/Tuesday weekend market closure.,"Friday 23:57 close -> Monday 01:00 reopen, delta=2943min; matches the dataset-wide weekend closure pattern observed on every trading week.",HIGH,False
gapf_62935_20210308_2358,2021-03-08 23:58:00,2021-03-09 01:00:00,2021-03-08 23:59:00,2021-03-09 00:59:00,62.0,61,Monday,Tuesday,23:58,01:00,2021,3,TRAIN,SUSPICIOUS_INTRASESSION,EXPECTED_DAILY_SESSION_BREAK,Recurring nightly broker maintenance/session break.,"2021-03-08 23:58:00 -> 2021-03-09 01:00:00: ~62min nightly pause, standard-time (hour 23->01) variant; this exact close/reopen-hour pair recurs on the vast majority of weeknights across all 6 dataset years, and the hour flips precisely on EU DST transition weekends.",MEDIUM,False
gapf_64314_20210309_2358,2021-03-09 23:58:00,2021-03-10 01:00:00,2021-03-09 23:59:00,2021-03-10 00:59:00,62.0,61,Tuesday,Wednesday,23:58,01:00,2021,3,TRAIN,SUSPICIOUS_INTRASESSION,EXPECTED_DAILY_SESSION_BREAK,Recurring nightly broker maintenance/session break.,"2021-03-09 23:58:00 -> 2021-03-10 01:00:00: ~62min nightly pause, standard-time (hour 23->01) variant; this exact close/reopen-hour pair recurs on the vast majority of weeknights across all 6 dataset years, and the hour flips precisely on EU DST transition weekends.",MEDIUM,False
gapf_65693_20210310_2358,2021-03-10 23:58:00,2021-03-11 01:00:00,2021-03-10 23:59:00,2021-03-11 00:59:00,62.0,61,Wednesday,Thursday,23:58,01:00,2021,3,TRAIN,SUSPICIOUS_INTRASESSION,EXPECTED_DAILY_SESSION_BREAK,Recurring nightly broker maintenance/session break.,"2021-03-10 23:58:00 -> 2021-03-11 01:00:00: ~62min nightly pause, standard-time (hour 23->01) variant; this exact close/reopen-hour pair recurs on the vast majority of weeknights across all 6 dataset years, and the hour flips precisely on EU DST transition weekends.",MEDIUM,False
gapf_67072_20210311_2358,2021-03-11 23:58:00,2021-03-12 01:00:00,2021-03-11 23:59:00,2021-03-12 00:59:00,62.0,61,Thursday,Friday,23:58,01:00,2021,3,TRAIN,SUSPICIOUS_INTRASESSION,EXPECTED_DAILY_SESSION_BREAK,Recurring nightly broker maintenance/session break.,"2021-03-11 23:58:00 -> 2021-03-12 01:00:00: ~62min nightly pause, standard-time (hour 23->01) variant; this exact close/reopen-hour pair recurs on the vast majority of weeknights across all 6 dataset years, and the hour flips precisely on EU DST transition weekends.",MEDIUM,False
