<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2026.04.02	02:00:00	4776.39	4798.84	4773.42	4794.83	6824	0	30
2026.04.02	02:30:00	4794.86	4800.13	4778.12	4783.93	6719	0	30
2026.04.02	03:00:00	4783.90	4798.59	4774.96	4789.65	10324	0	30
2026.04.02	03:30:00	4789.62	4796.08	4783.36	4784.43	9971	0	30
2026.04.02	04:00:00	4784.44	4786.38	4686.60	4696.71	16838	0	30
2026.04.02	04:30:00	4695.85	4711.66	4650.94	4696.43	15933	0	30
2026.04.02	05:00:00	4695.73	4704.03	4678.42	4689.62	13516	0	30
2026.04.02	05:30:00	4689.59	4690.86	4655.04	4686.49	14261	0	30
2026.04.02	06:00:00	4686.47	4699.17	4677.36	4691.21	11088	0	30
2026.04.02	06:30:00	4691.22	4692.40	4675.46	4675.94	8920	0	33
2026.04.02	07:00:00	4675.96	4681.22	4662.12	4666.09	8419	0	30
2026.04.02	07:30:00	4666.07	4672.99	4657.07	4672.44	7735	0	30
2026.04.02	08:00:00	4672.45	4680.44	4666.28	4677.15	8508	0	30
2026.04.02	08:30:00	4677.17	4679.15	4585.76	4593.94	15631	0	30
2026.04.02	09:00:00	4593.96	4598.51	4553.59	4590.98	15613	0	30
2026.04.02	09:30:00	4590.97	4608.46	4581.38	4599.09	13505	0	30
2026.04.02	10:00:00	4598.56	4627.38	4597.06	4620.57	11833	0	30
2026.04.02	10:30:00	4620.70	4650.92	4619.22	4642.63	10702	0	30
2026.04.02	11:00:00	4642.54	4648.74	4628.80	4634.17	10809	0	30
2026.04.02	11:30:00	4634.14	4643.61	4617.07	4620.66	9247	0	30
2026.04.02	12:00:00	4620.64	4631.67	4613.04	4620.87	9040	0	30
2026.04.02	12:30:00	4620.65	4628.27	4615.38	4621.62	8274	0	30
2026.04.02	13:00:00	4621.72	4634.89	4603.99	4618.45	8742	0	30
2026.04.02	13:30:00	4618.46	4631.23	4613.43	4620.38	8545	0	30
2026.04.02	14:00:00	4620.38	4630.44	4613.96	4614.62	8875	0	30
2026.04.02	14:30:00	4614.57	4617.46	4592.56	4599.94	11279	0	30
2026.04.02	15:00:00	4600.20	4630.08	4594.34	4626.18	12040	0	30
2026.04.02	15:30:00	4626.11	4626.78	4600.32	4601.73	11012	0	30
2026.04.02	16:00:00	4601.79	4614.05	4580.69	4597.48	15533	0	30
2026.04.02	16:30:00	4597.36	4651.25	4586.03	4645.97	16783	0	30
2026.04.02	17:00:00	4646.22	4675.77	4631.55	4665.04	16786	0	30
2026.04.02	17:30:00	4664.84	4699.23	4658.85	4681.34	16968	0	30
2026.04.02	18:00:00	4681.64	4683.82	4658.13	4672.43	16459	0	30
2026.04.02	18:30:00	4672.69	4675.88	4652.42	4660.94	15135	0	30
2026.04.02	19:00:00	4660.95	4668.27	4642.79	4650.59	13643	0	30
2026.04.02	19:30:00	4650.58	4670.38	4650.32	4658.88	12443	0	30
2026.04.02	20:00:00	4658.93	4668.13	4650.71	4651.76	10840	0	30
2026.04.02	20:30:00	4651.87	4658.46	4645.65	4648.44	9654	0	30
2026.04.02	21:00:00	4648.73	4658.65	4647.30	4651.40	7319	0	30
2026.04.02	21:30:00	4651.44	4671.86	4651.44	4668.40	7274	0	30
2026.04.02	22:00:00	4668.40	4681.61	4664.16	4665.03	9731	0	30
2026.04.02	22:30:00	4664.88	4676.29	4661.27	4671.95	9090	0	30
2026.04.02	23:00:00	4672.19	4676.63	4664.12	4667.69	3814	0	30
2026.04.02	23:30:00	4667.62	4677.73	4666.31	4675.94	4524	0	30
2026.04.06	01:00:00	4648.57	4665.62	4612.84	4635.80	6907	0	31
2026.04.06	01:30:00	4635.80	4654.06	4608.38	4645.50	9422	0	30
2026.04.06	02:00:00	4645.52	4651.20	4609.14	4609.63	7599	0	30
2026.04.06	02:30:00	4609.71	4619.08	4605.07	4610.30	7973	0	30
2026.04.06	03:00:00	4610.32	4629.25	4600.72	4603.28	11874	0	30
2026.04.06	03:30:00	4603.30	4625.99	4602.92	4622.20	10120	0	30
2026.04.06	04:00:00	4622.42	4643.06	4620.37	4641.04	9364	0	30
2026.04.06	04:30:00	4641.03	4641.30	4621.38	4625.74	8247	0	30
2026.04.06	05:00:00	4625.86	4671.78	4623.52	4661.01	10485	0	30
2026.04.06	05:30:00	4661.00	4666.44	4644.17	4647.85	9214	0	30
2026.04.06	06:00:00	4647.81	4647.88	4625.20	4630.18	8914	0	30
2026.04.06	06:30:00	4630.20	4642.01	4625.45	4640.38	7145	0	30
2026.04.06	07:00:00	4640.39	4648.43	4639.78	4646.52	5882	0	30
2026.04.06	07:30:00	4646.50	4659.72	4642.76	4658.85	5195	0	30
2026.04.06	08:00:00	4658.86	4678.72	4657.84	4667.19	6773	0	30
2026.04.06	08:30:00	4667.23	4668.77	4651.28	4652.45	4575	0	30
2026.04.06	09:00:00	4652.52	4662.11	4643.60	4657.21	5775	0	30
2026.04.06	09:30:00	4657.13	4667.70	4651.65	4665.84	6899	0	30
2026.04.06	10:00:00	4665.85	4666.60	4644.85	4650.65	7292	0	30
2026.04.06	10:30:00	4650.58	4688.16	4650.05	4684.68	8577	0	30
2026.04.06	11:00:00	4684.28	4695.61	4680.88	4691.11	8717	0	30
2026.04.06	11:30:00	4690.89	4698.00	4689.89	4695.63	6723	0	30
2026.04.06	12:00:00	4695.83	4703.62	4695.83	4702.17	6874	0	30
2026.04.06	12:30:00	4702.15	4706.46	4690.80	4693.42	6965	0	30
2026.04.06	13:00:00	4693.80	4697.45	4685.94	4689.64	6106	0	30
2026.04.06	13:30:00	4689.59	4696.63	4684.73	4689.62	6142	0	30
2026.04.06	14:00:00	4689.96	4696.73	4685.14	4688.31	7342	0	35
2026.04.06	14:30:00	4688.54	4694.40	4676.79	4677.70	5986	0	30
2026.04.06	15:00:00	4677.71	4686.65	4659.64	4665.90	7516	0	30
2026.04.06	15:30:00	4665.97	4681.01	4665.50	4675.71	7082	0	30
2026.04.06	16:00:00	4675.71	4677.36	4660.07	4668.52	8372	0	30
2026.04.06	16:30:00	4668.59	4681.60	4661.24	4680.20	14766	0	30
2026.04.06	17:00:00	4679.98	4690.76	4660.17	4685.95	15099	0	30
2026.04.06	17:30:00	4686.01	4697.47	4674.83	4682.63	13821	0	30
2026.04.06	18:00:00	4682.61	4683.75	4655.11	4667.12	12110	0	30
2026.04.06	18:30:00	4667.09	4670.84	4651.94	4668.04	10128	0	30
2026.04.06	19:00:00	4668.08	4672.47	4662.21	4665.43	7730	0	30
2026.04.06	19:30:00	4665.49	4671.01	4657.78	4660.22	6478	0	30
2026.04.06	20:00:00	4660.24	4660.98	4645.74	4655.98	10283	0	30
2026.04.06	20:30:00	4656.12	4660.40	4651.71	4653.57	8253	0	30
2026.04.06	21:00:00	4653.56	4666.42	4650.84	4659.98	9697	0	30
2026.04.06	21:30:00	4660.05	4663.12	4648.69	4658.10	6490	0	30
2026.04.06	22:00:00	4658.08	4659.22	4645.39	4650.01	4802	0	30
2026.04.06	22:30:00	4649.98	4657.97	4648.33	4655.23	3895	0	30
2026.04.06	23:00:00	4655.23	4657.87	4652.00	4655.69	2309	0	30
2026.04.06	23:30:00	4655.72	4658.25	4649.00	4650.31	2619	0	30
2026.04.07	01:00:00	4651.18	4668.00	4649.47	4662.06	4612	0	43
2026.04.07	01:30:00	4662.07	4662.96	4656.52	4658.23	2980	0	30
2026.04.07	02:00:00	4658.27	4660.97	4653.13	4654.40	2793	0	30
2026.04.07	02:30:00	4654.32	4660.02	4651.31	4658.67	4182	0	30
2026.04.07	03:00:00	4658.64	4660.83	4648.88	4658.92	8386	0	30
2026.04.07	03:30:00	4658.85	4661.01	4654.29	4654.76	6189	0	30
2026.04.07	04:00:00	4654.74	4664.31	4627.30	4654.85	13628	0	30
2026.04.07	04:30:00	4655.01	4662.31	4616.34	4626.76	13542	0	30
2026.04.07	05:00:00	4626.86	4635.17	4619.67	4634.55	8806	0	48
2026.04.07	05:30:00	4634.51	4653.88	4633.72	4650.31	10661	0	30
2026.04.07	06:00:00	4650.45	4653.99	4639.48	4642.48	8939	0	30
2026.04.07	06:30:00	4642.44	4651.01	4641.86	4649.54	4324	0	30
2026.04.07	07:00:00	4649.52	4651.31	4645.47	4650.05	4482	0	30
2026.04.07	07:30:00	4650.15	4663.96	4649.59	4659.52	5847	0	30
2026.04.07	08:00:00	4660.27	4661.33	4630.27	4632.17	5329	0	30
2026.04.07	08:30:00	4632.13	4646.31	4622.96	4642.72	12012	0	30
2026.04.07	09:00:00	4642.72	4649.06	4637.76	4640.86	9943	0	30
2026.04.07	09:30:00	4640.82	4656.33	4640.82	4653.31	9396	0	30
2026.04.07	10:00:00	4653.24	4656.95	4638.62	4639.37	9102	0	30
2026.04.07	10:30:00	4639.42	4647.01	4636.43	4645.92	5997	0	30
2026.04.07	11:00:00	4645.92	4690.68	4644.07	4678.40	12682	0	30
2026.04.07	11:30:00	4678.43	4687.55	4677.06	4682.67	9791	0	30
2026.04.07	12:00:00	4682.66	4694.40	4680.77	4686.59	8261	0	30
2026.04.07	12:30:00	4686.57	4686.82	4658.63	4670.78	9144	0	30
2026.04.07	13:00:00	4670.77	4680.55	4657.86	4668.02	9931	0	30
2026.04.07	13:30:00	4667.93	4671.88	4649.11	4651.92	11398	0	30
2026.04.07	14:00:00	4651.93	4656.08	4628.67	4647.71	10316	0	30
2026.04.07	14:30:00	4647.64	4663.97	4646.97	4659.60	9266	0	30
2026.04.07	15:00:00	4659.62	4670.87	4651.10	4665.95	11403	0	30
2026.04.07	15:30:00	4665.83	4667.47	4646.71	4651.48	8910	0	30
2026.04.07	16:00:00	4651.52	4662.83	4648.12	4657.84	12040	0	30
2026.04.07	16:30:00	4657.83	4663.00	4635.39	4643.97	15260	0	30
2026.04.07	17:00:00	4644.00	4649.39	4607.31	4645.32	15828	0	30
2026.04.07	17:30:00	4645.19	4661.33	4629.84	4632.95	14571	0	30
2026.04.07	18:00:00	4632.95	4653.18	4624.69	4652.88	14533	0	30
2026.04.07	18:30:00	4652.90	4659.41	4640.43	4655.50	11303	0	30
2026.04.07	19:00:00	4655.56	4668.56	4652.50	4662.65	12750	0	30
2026.04.07	19:30:00	4662.62	4663.96	4655.86	4656.93	9576	0	30
2026.04.07	20:00:00	4656.91	4673.00	4653.74	4660.06	9627	0	30
2026.04.07	20:30:00	4660.32	4686.46	4660.32	4675.69	10541	0	30
2026.04.07	21:00:00	4675.68	4685.92	4675.57	4680.41	8168	0	30
2026.04.07	21:30:00	4680.44	4686.17	4657.36	4661.97	7319	0	30
2026.04.07	22:00:00	4662.00	4702.47	4660.59	4687.37	16052	0	30
2026.04.07	22:30:00	4687.36	4718.44	4681.65	4700.59	13583	0	30
2026.04.07	23:00:00	4700.76	4712.98	4697.06	4710.27	7595	0	30
2026.04.07	23:30:00	4711.07	4716.89	4703.09	4705.48	6756	0	30
2026.04.08	01:00:00	4719.90	4751.93	4719.90	4735.33	8498	0	30
2026.04.08	01:30:00	4735.36	4819.51	4712.92	4818.06	15161	0	30
2026.04.08	02:00:00	4818.17	4828.80	4801.37	4814.47	14600	0	30
2026.04.08	02:30:00	4814.48	4836.03	4803.89	4833.29	11976	0	30
2026.04.08	03:00:00	4833.30	4857.50	4818.79	4822.46	14659	0	30
2026.04.08	03:30:00	4822.49	4826.11	4808.55	4817.69	10797	0	30
2026.04.08	04:00:00	4817.68	4825.18	4791.80	4793.78	14104	0	30
2026.04.08	04:30:00	4793.59	4814.09	4787.88	4810.14	12525	0	30
2026.04.08	05:00:00	4809.71	4825.12	4807.78	4811.57	7228	0	30
2026.04.08	05:30:00	4811.70	4820.50	4798.35	4803.77	8232	0	30
2026.04.08	06:00:00	4803.78	4805.75	4796.28	4802.83	10044	0	30
2026.04.08	06:30:00	4802.77	4804.81	4794.83	4797.34	5647	0	30
2026.04.08	07:00:00	4797.29	4803.89	4790.06	4802.22	6163	0	30
2026.04.08	07:30:00	4802.22	4806.41	4797.60	4803.42	5253	0	30
2026.04.08	08:00:00	4803.40	4816.22	4800.13	4815.62	5580	0	30
2026.04.08	08:30:00	4815.55	4843.65	4813.67	4827.33	10190	0	30
2026.04.08	09:00:00	4827.37	4836.51	4821.12	4836.19	9437	0	30
2026.04.08	09:30:00	4836.21	4839.64	4819.76	4819.86	8701	0	30
2026.04.08	10:00:00	4819.85	4821.17	4809.11	4818.18	7732	0	31
2026.04.08	10:30:00	4818.21	4820.27	4805.07	4813.25	8206	0	30
2026.04.08	11:00:00	4813.26	4819.74	4798.41	4808.38	7633	0	30
2026.04.08	11:30:00	4808.37	4808.37	4790.14	4793.68	8504	0	30
2026.04.08	12:00:00	4793.64	4806.70	4793.16	4798.39	6316	0	30
2026.04.08	12:30:00	4798.36	4803.63	4776.33	4783.06	7845	0	30
2026.04.08	13:00:00	4783.03	4790.19	4771.08	4782.53	6788	0	30
2026.04.08	13:30:00	4782.54	4796.01	4780.09	4782.46	5890	0	30
2026.04.08	14:00:00	4782.49	4796.82	4779.66	4789.64	6106	0	30
2026.04.08	14:30:00	4789.66	4802.59	4777.85	4798.38	8533	0	30
2026.04.08	15:00:00	4798.57	4807.04	4769.05	4783.94	10948	0	30
2026.04.08	15:30:00	4784.01	4802.38	4783.29	4799.49	9751	0	30
2026.04.08	16:00:00	4799.50	4806.54	4789.09	4790.30	10860	0	30
2026.04.08	16:30:00	4790.21	4794.62	4768.08	4777.55	15641	0	30
2026.04.08	17:00:00	4777.18	4791.89	4761.16	4767.71	14575	0	30
2026.04.08	17:30:00	4767.70	4770.13	4732.12	4736.00	15097	0	30
2026.04.08	18:00:00	4736.01	4757.40	4734.22	4750.60	13425	0	30
2026.04.08	18:30:00	4750.61	4762.95	4750.14	4756.31	10121	0	30
2026.04.08	19:00:00	4756.32	4762.47	4745.29	4749.86	9388	0	30
2026.04.08	19:30:00	4749.91	4765.44	4747.77	4760.37	8700	0	30
2026.04.08	20:00:00	4760.31	4764.25	4745.50	4750.86	8297	0	30
2026.04.08	20:30:00	4750.83	4754.20	4731.59	4733.80	9801	0	30
2026.04.08	21:00:00	4733.81	4744.33	4716.94	4722.15	11575	0	30
2026.04.08	21:30:00	4723.04	4724.86	4703.62	4704.98	10806	0	30
2026.04.08	22:00:00	4704.82	4718.42	4699.53	4708.44	9610	0	30
2026.04.08	22:30:00	4708.20	4731.70	4707.95	4730.46	9292	0	30
2026.04.08	23:00:00	4730.45	4732.06	4721.68	4723.07	3851	0	30
2026.04.08	23:30:00	4723.09	4724.43	4716.95	4719.13	3308	0	30
2026.04.09	01:00:00	4719.67	4733.95	4704.64	4713.68	5859	0	30
2026.04.09	01:30:00	4713.69	4719.86	4705.81	4717.56	5468	0	30
2026.04.09	02:00:00	4717.44	4717.47	4705.31	4709.75	5137	0	30
2026.04.09	02:30:00	4709.88	4719.81	4706.94	4715.59	5738	0	30
2026.04.09	03:00:00	4715.55	4715.65	4698.58	4706.30	10153	0	30
2026.04.09	03:30:00	4706.28	4718.97	4705.56	4706.65	7866	0	30
2026.04.09	04:00:00	4706.36	4723.36	4699.42	4704.79	12077	0	30
2026.04.09	04:30:00	4704.78	4728.02	4703.84	4727.08	10321	0	30
2026.04.09	05:00:00	4727.09	4728.61	4720.94	4725.22	7095	0	30
2026.04.09	05:30:00	4725.24	4732.82	4717.38	4718.94	7028	0	30
2026.04.09	06:00:00	4718.87	4720.10	4705.11	4712.38	8067	0	30
2026.04.09	06:30:00	4712.39	4714.74	4706.48	4711.34	6122	0	30
2026.04.09	07:00:00	4711.43	4723.23	4709.53	4716.84	4256	0	32
2026.04.09	07:30:00	4716.84	4725.32	4714.35	4720.77	4075	0	30
2026.04.09	08:00:00	4720.83	4726.40	4710.68	4726.15	5687	0	33
2026.04.09	08:30:00	4726.21	4726.45	4705.74	4713.04	8176	0	30
2026.04.09	09:00:00	4713.16	4725.27	4711.28	4718.19	8102	0	30
2026.04.09	09:30:00	4718.27	4722.93	4703.44	4712.49	7904	0	30
2026.04.09	10:00:00	4712.47	4730.38	4705.51	4708.36	9049	0	30
2026.04.09	10:30:00	4708.37	4731.32	4708.37	4724.29	7876	0	30
2026.04.09	11:00:00	4724.23	4727.60	4719.80	4721.23	5318	0	30
2026.04.09	11:30:00	4721.16	4732.98	4720.04	4726.11	5729	0	30
2026.04.09	12:00:00	4726.06	4733.13	4722.80	4729.62	5601	0	30
2026.04.09	12:30:00	4729.27	4732.43	4723.53	4729.12	5081	0	30
2026.04.09	13:00:00	4729.11	4739.66	4723.62	4738.04	5623	0	30
2026.04.09	13:30:00	4738.05	4746.55	4736.34	4740.90	5569	0	30
2026.04.09	14:00:00	4740.77	4747.16	4738.32	4745.64	5435	0	30
2026.04.09	14:30:00	4745.60	4757.41	4742.94	4756.38	6232	0	30
2026.04.09	15:00:00	4756.32	4759.51	4734.76	4737.91	7921	0	30
2026.04.09	15:30:00	4737.63	4747.96	4735.13	4745.85	8580	0	30
2026.04.09	16:00:00	4745.88	4758.46	4738.57	4752.61	9988	0	30
2026.04.09	16:30:00	4752.97	4776.95	4750.45	4764.27	13910	0	30
2026.04.09	17:00:00	4764.32	4776.02	4760.12	4765.47	11931	0	30
2026.04.09	17:30:00	4765.05	4768.85	4747.05	4768.40	11522	0	30
2026.04.09	18:00:00	4768.57	4786.16	4761.09	4778.77	11458	0	30
2026.04.09	18:30:00	4778.84	4797.83	4778.11	4792.63	13394	0	30
2026.04.09	19:00:00	4792.72	4800.94	4787.50	4792.64	10176	0	30
2026.04.09	19:30:00	4792.68	4795.30	4784.33	4788.69	8789	0	30
2026.04.09	20:00:00	4788.74	4798.15	4786.67	4792.67	7937	0	30
2026.04.09	20:30:00	4792.68	4801.14	4787.49	4797.62	7403	0	30
2026.04.09	21:00:00	4797.77	4797.93	4777.67	4781.95	10668	0	30
2026.04.09	21:30:00	4781.96	4782.14	4767.61	4771.97	8495	0	30
2026.04.09	22:00:00	4771.95	4782.41	4768.86	4773.46	7490	0	30
2026.04.09	22:30:00	4773.49	4777.93	4766.89	4768.54	6872	0	30
2026.04.09	23:00:00	4768.66	4773.21	4766.01	4769.88	3298	0	30
2026.04.09	23:30:00	4769.93	4771.50	4760.82	4765.48	3539	0	30
2026.04.10	01:00:00	4766.50	4780.33	4763.64	4764.34	3797	0	30
2026.04.10	01:30:00	4764.49	4767.03	4758.57	4763.93	2980	0	30
2026.04.10	02:00:00	4763.95	4764.00	4756.75	4758.18	2760	0	30
2026.04.10	02:30:00	4758.18	4764.14	4758.06	4763.55	3236	0	30
2026.04.10	03:00:00	4763.78	4763.78	4750.62	4753.50	6019	0	30
2026.04.10	03:30:00	4753.49	4762.77	4753.49	4762.62	5087	0	30
2026.04.10	04:00:00	4762.64	4766.92	4757.80	4762.24	9809	0	30
2026.04.10	04:30:00	4762.34	4776.92	4760.00	4764.37	7900	0	30
2026.04.10	05:00:00	4764.41	4765.22	4742.21	4744.44	7769	0	30
2026.04.10	05:30:00	4744.53	4753.41	4737.89	4752.86	7638	0	30
2026.04.10	06:00:00	4752.82	4761.98	4752.69	4755.83	7373	0	30
2026.04.10	06:30:00	4755.84	4769.47	4755.67	4766.34	4984	0	30
2026.04.10	07:00:00	4766.33	4770.67	4764.57	4765.45	3085	0	30
2026.04.10	07:30:00	4765.47	4765.59	4757.83	4758.46	3635	0	30
2026.04.10	08:00:00	4758.50	4763.75	4757.25	4759.66	4525	0	30
2026.04.10	08:30:00	4759.68	4769.04	4759.22	4765.74	6905	0	30
2026.04.10	09:00:00	4765.67	4765.75	4751.49	4755.30	8638	0	30
2026.04.10	09:30:00	4755.40	4758.36	4742.80	4746.14	8045	0	30
2026.04.10	10:00:00	4745.84	4755.91	4741.21	4753.51	5227	0	30
2026.04.10	10:30:00	4753.61	4757.45	4748.11	4749.46	3915	0	30
2026.04.10	11:00:00	4749.56	4753.21	4742.18	4746.60	5389	0	30
2026.04.10	11:30:00	4746.27	4752.10	4730.49	4740.57	6041	0	30
2026.04.10	12:00:00	4740.62	4760.60	4740.52	4748.71	7368	0	30
2026.04.10	12:30:00	4748.53	4752.97	4746.22	4751.39	5492	0	30
2026.04.10	13:00:00	4751.39	4760.52	4742.28	4758.10	5444	0	30
2026.04.10	13:30:00	4758.11	4759.66	4753.78	4756.99	4543	0	30
2026.04.10	14:00:00	4757.02	4762.41	4753.18	4761.52	5072	0	30
2026.04.10	14:30:00	4761.53	4768.67	4758.43	4767.95	4908	0	30
2026.04.10	15:00:00	4768.01	4771.16	4759.60	4761.96	6499	0	30
2026.04.10	15:30:00	4762.44	4782.14	4761.63	4771.62	11170	0	30
2026.04.10	16:00:00	4771.65	4779.97	4766.00	4775.53	9934	0	30
2026.04.10	16:30:00	4775.69	4778.50	4765.22	4774.95	12277	0	30
2026.04.10	17:00:00	4774.99	4792.76	4767.31	4790.53	11847	0	30
2026.04.10	17:30:00	4790.39	4794.98	4770.74	4774.60	11471	0	30
2026.04.10	18:00:00	4774.79	4787.16	4769.39	4775.95	9790	0	30
2026.04.10	18:30:00	4775.92	4778.26	4755.19	4762.15	11549	0	30
2026.04.10	19:00:00	4761.95	4765.02	4747.47	4758.36	9600	0	30
2026.04.10	19:30:00	4758.34	4765.95	4756.01	4763.67	8669	0	30
2026.04.10	20:00:00	4763.75	4768.50	4758.04	4762.69	6693	0	30
2026.04.10	20:30:00	4762.62	4765.54	4758.14	4760.26	6829	0	30
2026.04.10	21:00:00	4760.27	4769.33	4750.82	4765.75	6175	0	30
2026.04.10	21:30:00	4766.01	4773.12	4763.01	4765.14	4690	0	30
2026.04.10	22:00:00	4765.17	4770.40	4762.99	4763.42	4475	0	30
2026.04.10	22:30:00	4763.43	4765.28	4758.10	4759.60	6150	0	30
2026.04.10	23:00:00	4759.73	4759.78	4741.03	4745.39	5055	0	30
2026.04.10	23:30:00	4745.40	4752.22	4744.78	4749.21	3247	0	42
2026.04.13	01:00:00	4690.26	4690.71	4643.71	4646.73	7804	0	30
2026.04.13	01:30:00	4646.90	4660.29	4645.18	4658.92	9531	0	30
2026.04.13	02:00:00	4658.90	4660.55	4644.25	4653.21	7907	0	30
2026.04.13	02:30:00	4653.24	4671.71	4650.00	4671.15	7660	0	30
2026.04.13	03:00:00	4671.23	4675.85	4664.50	4672.80	9118	0	30
2026.04.13	03:30:00	4672.81	4698.31	4670.82	4695.46	7906	0	30
2026.04.13	04:00:00	4694.66	4721.33	4693.62	4717.26	12843	0	30
2026.04.13	04:30:00	4717.24	4727.94	4709.73	4721.10	10659	0	30
2026.04.13	05:00:00	4721.09	4725.64	4718.91	4719.79	7621	0	30
2026.04.13	05:30:00	4719.82	4727.82	4711.04	4720.35	9538	0	41
2026.04.13	06:00:00	4720.34	4721.57	4712.13	4718.81	8122	0	30
2026.04.13	06:30:00	4718.80	4723.79	4717.17	4718.04	4599	0	30
2026.04.13	07:00:00	4718.03	4718.37	4708.51	4712.54	4467	0	30
2026.04.13	07:30:00	4712.60	4724.81	4708.82	4722.98	4911	0	30
2026.04.13	08:00:00	4723.04	4726.01	4716.27	4720.41	5116	0	30
2026.04.13	08:30:00	4720.31	4730.61	4717.96	4729.26	8800	0	30
2026.04.13	09:00:00	4729.28	4731.77	4723.25	4731.50	9806	0	30
2026.04.13	09:30:00	4731.53	4732.62	4720.68	4725.46	8164	0	30
2026.04.13	10:00:00	4725.56	4738.54	4724.69	4730.67	8799	0	30
2026.04.13	10:30:00	4730.79	4739.88	4727.29	4733.50	8010	0	30
2026.04.13	11:00:00	4733.30	4738.45	4729.98	4731.91	6281	0	30
2026.04.13	11:30:00	4731.86	4736.08	4720.04	4723.18	6465	0	30
2026.04.13	12:00:00	4723.17	4728.40	4714.10	4715.04	6936	0	30
2026.04.13	12:30:00	4715.09	4719.90	4710.39	4714.42	5486	0	30
